filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	hmox1_nwt	hmox1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_F04	200911	1	NC895	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	10.266674	.3062664	.71352072	.170148	1.0911824	1	15	64															0	1467407	0		1009.5948				0	4077.508	957808.8	1251603	8_HMOX1	1	5	2	4.966667	5	1	5	.029494	-.7575541	-.7025232	-.9518433	-.9064346	.7670732	1.128144	-.4377901	-.3894143	-.5595922	.4516583	-.9252446	2.535274	-1.828892	-1.828892															
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_C03	200911	1	NC884	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.8124151	1	2	12.253091	.340296	.50739251	.2041776	1.0132408	1	4	53	511537	4781	4423	17759	6664	107	8.928e+09	2	6676992	250322	166	280	224	127	72	590499	5884	2036.3215	1817.9042	1.20e+07	36.97523	3740903	0	3820.088	960291.1	1241943	8_HMOX1	1	5	2	3.7	5	1	5	-.9518433	-.6744897	-.8207921	-.1182339	-.7407855	-.4249322	.1553528	.313572	-.5157048	.1141853	-.6508373	-.357884	-.7752326	.0563585	.0563585	-.2130021	.2752391	2.34813	.4921101	-1.073562	-.6597193	.9182451	.8483799	1.073562	1.073562	1.906358	1.032396	.4484255	.9929082	.0473125
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_H03	200911	1	NC889	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	9.7700703	.3062664	.55496056	.1361184	.9352992	1	9	58	28092	1652	929	2660	750	17	74442064	1	544276	32429	64	152	115	44	8	327272	352	2031.6591	1550.2452	715144	351.117	-1257870	0	3654.594	859070.1	1072937	8_HMOX1	1	5	2	4.033333	5	1	5	-1.616981	-1.696752	-1.429219	-.5244005	-.9993048	-.4954916	-1.714594	-.4377901	-.6275435	-1.4342	-.0569997	-1.10579	-1.639431	-1.341447	-1.414199	-2.51073	-.1210967	-2.34813	-2.34813	-1.906358	-1.906358	-1.906358	-1.505968	-1.505968	-1.906358	-1.906358	-1.906358	-1.898029	-1.672937	-1.505968
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_F09	200911	1	NC933	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	8.0816166	.340296	.50739251	.170148	.8573576	1	4	102															58	348153	3696	3685.3423	2957.7256	1.36e+07	328.3731	-2.13e+07	0	3589.079	903377.7	999828.5	8_HMOX1	1	5	3	8.183333	5	1	5	-1.737194	-1.232001	-2.104968	.5585475	-1.049131	-.4599256	-.7856053	.313572	-.7229722	-.5595922	-.6508373	-1.476592	-1.539856	-.1841031	-.3446772	-.1515802	-1.416509													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_F01	200911	1	NC874	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	17.02049	.3062664	1.1099211	.2041776	1.7926568	1	43	43															151	544820	13199	2443.3242	2218.8297	3.22e+07	-33.55803	1.46e+07	7	3877.375	933569	1252560	8_HMOX1	1	5	1	2.816667	5	1	5	-.6289042	-.9420758	-.6652629	-1.351702	-1.616981	-.2566249	-.5530241	-.4377901	.2494273	.1141853	1.207414	.8846525	-1.029232	.4987188	.7377372	.3707237	.762464													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_F03	200911	1	NC887	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	16.623206	.340296	.72937674	.2041776	2.1044232	1	7	56	473787	10081	7286	15958	5294	47	7.126e+09	1	4684576	167202	117	281	238	120	173	631589	13056	4128.36	3626.6167	5.39e+07	-25.31446	3304239	0	3821.679		1275035	8_HMOX1	1	5	2	3.9	5	1	5	-.8628221		-.5585475	-.177872	.9064346	-.7670732	-1.253905	.313572	.5375191	.1141853	.5375191	.807541	-.5969185	.7752326	.7012515	1.033853	.2440025	-.9929082	.4393922	2.34813	1.505968	.2876889	.3878687	.4921101	-.0473125	-.0473125	-1.073562	.5299395	1.161883	-.4655894
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_C07	200911	1	NC914	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	11.855807	.3062664	.44396845	.170148	.2338248	1	34	83															251	752268	19800	2123.2557	1859.3106	4.20e+07	74.59083	3.28e+07	0	4101.501	1071920	1356622	8_HMOX1	1	5	2	6.866667	5	1	5	.1479871	.0804273	0	.088585	.029494	-.0953326	.2822162	-.4377901	-1.549706	-.5595922	-1.549706	-.5524426	.4051146	1.758563	1.639431	.762464	1.605273													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_C04	200911	1	NC892	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.9492656	1	2	9.7700703	.3062664	.66595267	.170148	1.6367736	1	12	61															0	826832	0		935.89706				0	3720.836	852595.2	1105476	8_HMOX1	1	5	2	4.766667	5	1	5	-1.351702	-1.851466	-1.351702	-.9993048	-1.281552	-1.580799	-.9674216	-.4377901	.0379883	-.5595922	.3487557	-1.10579	1.307593	-1.828892	-1.828892															
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_H08	200911	1	NC927	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	11.061241	.340296	.55496056	.2382072	.7014744	1	47	96	459317	6207	4074	16995	5264	74	7.769e+09	1	4625901	206061	139	279	189	123	158	552642	11551	2600.3624	2452.653	3.00e+07	-155.0229	6931992	0	3671.76	933165.3	1180573	8_HMOX1	1	5	2	7.75	5	1	5	-1.516426	-.9934046	-.9064346	-.6652629	-.3147636	-1.857141	-.030951	.313572	-.7990828	.5595922	-.0569997	-.6660544	-.9378634	.6138328	.4987188	.2440025	.4697212	1.161883	.2387225	-.2387225	-1.073562	.6597193	.5462332	.4393922	-.0947312	.9182451	.0473125	.3697907	-.0236496	-.1662953
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_F07	200911	1	NC917	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	9.7700703	.2722368	.76108877	.170148	1.2470656	1	37	86	389175	7076	4787	20576	5719	55	7.763e+09	1	4268353	161967	126	214	191	138									0	3821.528	898861.7	1165470	8_HMOX1	1	5	2	7.066667	5	1	5	-.9064346	-1.471982	-.9518433	-1.88951	-1.429219	-.2239646	-.0619316	-1.238894	-.2494273	-.5595922	.6275435	-1.10579						-.5189816	0	.2876889	-.2387225	.6020065	1.073562	.6597193	-.2876889	-.4921101	-.6020065	-1.496147	.0710019	.6020065
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_C06	200911	1	NC908	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	11.955128	.4083552	.50739251	.3062664	.3117664	1	28	77															14	396123	1104	3172.9284	2966.3018	3502913	-194.2557	-3.16e+07	0	4125.757	1019507	1335208	8_HMOX1	1	5	2	5.916667	5	1	5	.2381501	-.1127151	-.088585	-.7407855	-.4253408	.3904518	-.4138112	1.608653	-1.290233	1.549706	-.6508373	-.4906756	-1.244045	-1.157199	-1.078302	-1.143064	-2.095297													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_H07	200911	1	NC919	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	14.835432	.3062664	.99892901	.2382072	2.6500144	1	39	88	382007	6702	5107	12325	4039	57	5.033e+09	1	4044044	163255	135	274	166	126	166	738430	11985	2837.2967	2416.0057	3.40e+07	125.5613	1.18e+07	0	3978.347	1003926	1303432	8_HMOX1	1	5	2	7.2	5	1	5	-.2993069	-.2434042	-.3302958	-1.429219	-.7025232	.2239646	.7039218	-.4377901	1.247754	.5595922	.9084579	.3722894	.227256	.6656764	.5969185	.4697212	.6839988	-.3624964	-.1903223	.0947312	-.1423641	-.1903223	-.1903223	-.2876889	-.6020065	-.4393922	-.2387225	.2186495	-.8827738	-.0710019
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_C09	200911	1	NC930	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	10.068033	.3743256	.80865682	.3062664	1.7147152	1	1	99	286252	4337	3611	12264	4739	66	3.362e+09	1	5043374	174310	132	286	186	141	195	628617	13938	2503.6077	2202.7056	3.49e+07	45.9306	1.76e+07	0	3887.91	988792.8	1324397	8_HMOX1	1	5	3	7.966667	5	1	5	-.5244005	-.413163	-.177872	-1.516426	-.6469766	-.6063177	2.502106	.9271548	.1717471	1.549706	.8254945	-1.011394	-.6309245	.9378634	.8138509	.5037205	.8459325	.3624964	-.9929082	-1.260339	-1.37281	-.7824294	-.2387225	.1423641	.1903223	.0473125	-.2876889	.6445316	-.1423641	.7824294
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_H09	200911	1	NC935	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.0473924	0	1	7.2870501	.3062664	.4915365	.170148	.5455912	1	6	104																							0	3675.998	927363.3	1064309	8_HMOX1	1	5	3	8.316667	5	1	5	-1.429219	-1.047494	-1.516426	-.9064346	.2381501	-.5686108	-1.188674	-.4377901	-.9375322	-.5595922	-.9982012	-1.660698																		
